category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,2010,49.58
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1980,62.6
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1950,77.6
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,2015,49.41
Streets,street_density_index_sub_urban_area,Street density index – Sub urban area,index,30.719997,76.780006,689,IN,Chandigarh,2013,0.253
Streets,street_density_index_sub_urban_area,Street density index – Sub urban area,index,22.494969,88.324676,689,IN,Kolkata,2013,0.399
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,20,77,689,IN,India,1993,87.7
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,20,77,689,IN,India,1998,92.8
Slum dwellers,improved_water_sustainable_access_countries,Proportion of population with sustainable access to an improved water source – Countries,p,20,77,689,IN,India,2006,95.1
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,20,77,689,IN,India,1992,15.5
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,20,77,689,IN,India,2006,0.7
Slum dwellers,pit_latrine_without_slab,Access to pit latrine without slab,p,20,77,689,IN,India,1998,16.9
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2050,914888
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1950,63373
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1955,71301
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1960,79938
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1965,92773
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1970,108546
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1975,130927
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1980,159046
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1985,187754
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1990,219758
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,1995,253774
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2000,289438
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2005,325563
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2007,341247
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2010,366858
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2015,415612
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2020,472561
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2025,538055
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2030,611407
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2035,686835
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2040,763905
Population,urban_population_countries,Urban population – Countries,1000,20,77,689,IN,India,2045,840681
Education,net_enrolment_rate_2_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 2 Shelter deprivation,p,20,77,689,IN,India,1998,81
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1985,23053
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1955,9105
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,2020,90688
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1990,32729
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1960,11845
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,2025,105587
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1995,39491
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1965,15439
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,2000,43858
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1970,14000
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,2005,55029
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1975,18121
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,2010,65513
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1980,16513
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,1950,11328
Population,population_cities_by_country_1m_5m,Population in cities by country – cities with 1 to 5 million inhabitants,1000,20,77,689,IN,India,2015,79181
Population,urban_agglomeration_population_density,Urban agglomeration population density (population/km²),n,25.179999,75.834999,689,IN,Kota,2013,12100
Population,urban_agglomeration_population_density,Urban agglomeration population density (population/km²),n,19.01699,72.856989,689,IN,Mumbai,2013,31700
Population,urban_agglomeration_population_density,Urban agglomeration population density (population/km²),n,30.719997,76.780006,689,IN,Chandigarh,2013,5300
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,20,77,689,IN,India,1992,21.5
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,20,77,689,IN,India,2006,20.3
Slum dwellers,public_tap_pump_borehole,Access to public tap/pump/borehole,p,20,77,689,IN,India,1998,22.7
Slum dwellers,literacy_rate_women_2_shelter_deprivation,Literacy rate by shelter deprivation (Women) – 2 Shelter deprivation,p,20,77,689,IN,India,1999,46
Slum dwellers,distribution_of_solid_cooking_fuel_urban,Percent distribution of solid cooking fuel – Urban,p,20,77,689,IN,India,2006,30.9
Resilience,population_affected_by_conflicts,Annual average of population affected by conflicts,p,20,77,689,IN,India,1980,3
Slum dwellers,literacy_rate_slum,Literacy rate by shelter deprivation – Slum,p,20,77,689,IN,India,1999,45.6
Transport,goods_hauled_by_railways,Goods hauled by railways (million passengers/km),n,20,77,689,IN,India,1999,381241
Resilience,number_of_refugees_by_country_of_asylum,Number of refugees by country of asylum,n,20,77,689,IN,India,2005,139283
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,1990,82.9
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,1960,156.6
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,1995,75
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,2000,66.9
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,1970,128.7
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,2005,57.7
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,2007,54.3
Population,death_per_1000_live_births,Deaths per 1000 live births,n,20,77,689,IN,India,1980,107.5
Education,net_enrolment_rate_1_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 1 Shelter deprivation,p,20,77,689,IN,India,1998,90
Streets,proportion_land_allocated_to_street_city_core,Proportion of land allocated to street – city core,p,30.719997,76.780006,689,IN,Chandigarh,2013,15.7
Streets,proportion_land_allocated_to_street_city_core,Proportion of land allocated to street – city core,p,22.494969,88.324676,689,IN,Kolkata,2013,15.2
Streets,proportion_land_allocated_to_street_city_core,Proportion of land allocated to street – city core,p,19.01699,72.856989,689,IN,Mumbai,2013,15.2
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,20,77,689,IN,India,2001,0.8
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,20,77,689,IN,India,2003,0.9
Streets,land_allocated_to_street_index_city_core,Land Allocated to Street Index – city core,index,30.719997,76.780006,689,IN,Chandigarh,2013,0.507
Streets,land_allocated_to_street_index_city_core,Land Allocated to Street Index – city core,index,22.494969,88.324676,689,IN,Kolkata,2013,0.49
Streets,land_allocated_to_street_index_city_core,Land Allocated to Street Index – city core,index,19.01699,72.856989,689,IN,Mumbai,2013,0.49
Streets,total_road_network,Total road network (in km),n,20,77,689,IN,India,2000,3383344
Resilience,refugees_by_country_of_origin,Number of refugees by country of origin,n,20,77,689,IN,India,2005,16275
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,20,77,689,IN,India,1992,3.8
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,20,77,689,IN,India,2005,10.8
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,20,77,689,IN,India,1998,6
Streets,intersection_density_index_city_core,Intersection Density Index – City Core,index,30.719997,76.780006,689,IN,Chandigarh,2013,0.574
Streets,intersection_density_index_city_core,Intersection Density Index – City Core,index,22.494969,88.324676,689,IN,Kolkata,2013,1
Streets,intersection_density_index_city_core,Intersection Density Index – City Core,index,19.01699,72.856989,689,IN,Mumbai,2013,0.463
City prosperity,cpi_4_dimensions,City Prosperity Index with 4 dimensions,p,19.01699,72.856989,689,IN,Mumbai,2012,0.688
City prosperity,cpi_4_dimensions,City Prosperity Index with 4 dimensions,p,28.600023,77.19998,689,IN,New Delhi,2012,0.617
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,1985,1
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,2020,3
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,1990,2
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,2025,4
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,1995,3
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,2000,3
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,2005,3
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,2010,3
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,20,77,689,IN,India,2015,3
Health,children_with_diarrhea_rural,Proportion of children with diarrhea in last two weeks – Rural,p,20,77,689,IN,India,1992,10.3
Health,children_with_diarrhea_rural,Proportion of children with diarrhea in last two weeks – Rural,p,20,77,689,IN,India,2005,9
Health,children_with_diarrhea_rural,Proportion of children with diarrhea in last two weeks – Rural,p,20,77,689,IN,India,1998,18.8
Population,pop_urban_percentage,Percentage of national population living in urban areas,p,20,77,689,IN,India,2007,29.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.310019,73.180019,689,IN,Vadodara,2000,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.310019,73.180019,689,IN,Vadodara,2010,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.310019,73.180019,689,IN,Vadodara,2020,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,19.01699,72.856989,689,IN,Mumbai,2000,5.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,19.01699,72.856989,689,IN,Mumbai,2010,5.1
Slum dwellers,urban_population_share_national,Share in national urban population,p,19.01699,72.856989,689,IN,Mumbai,2020,4.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.494969,88.324676,689,IN,Kolkata,2000,4.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.494969,88.324676,689,IN,Kolkata,2010,3.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.494969,88.324676,689,IN,Kolkata,2020,3.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,34.099972,74.815009,689,IN,Srinagar,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,34.099972,74.815009,689,IN,Srinagar,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,34.099972,74.815009,689,IN,Srinagar,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.310019,70.800009,689,IN,Rajkot,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.310019,70.800009,689,IN,Rajkot,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.310019,70.800009,689,IN,Rajkot,2020,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,20.270428,85.82736,689,IN,Bhubaneshwar,2000,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,20.270428,85.82736,689,IN,Bhubaneshwar,2010,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,20.270428,85.82736,689,IN,Bhubaneshwar,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,30.927762,75.872257,689,IN,Ludhiana,2000,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,30.927762,75.872257,689,IN,Ludhiana,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,30.927762,75.872257,689,IN,Ludhiana,2020,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,25.179999,75.834999,689,IN,Kota,2000,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,25.179999,75.834999,689,IN,Kota,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,25.179999,75.834999,689,IN,Kota,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.291766,73.016773,689,IN,Jodhpur,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.291766,73.016773,689,IN,Jodhpur,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.291766,73.016773,689,IN,Jodhpur,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.250436,75.76999,689,IN,Kozhikode,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.250436,75.76999,689,IN,Kozhikode,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.250436,75.76999,689,IN,Kozhikode,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.855039,80.914999,689,IN,Lucknow,2000,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.855039,80.914999,689,IN,Lucknow,2010,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.855039,80.914999,689,IN,Lucknow,2020,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.787535,86.197519,689,IN,Jamshedpur,2000,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.787535,86.197519,689,IN,Jamshedpur,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.787535,86.197519,689,IN,Jamshedpur,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.370006,85.330026,689,IN,Ranchi,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.370006,85.330026,689,IN,Ranchi,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.370006,85.330026,689,IN,Ranchi,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.234995,81.635006,689,IN,Raipur,2000,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.234995,81.635006,689,IN,Raipur,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.234995,81.635006,689,IN,Raipur,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.175057,79.955057,689,IN,Jabalpur,2000,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.175057,79.955057,689,IN,Jabalpur,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.175057,79.955057,689,IN,Jabalpur,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.715059,75.865023,689,IN,Indore,2000,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.715059,75.865023,689,IN,Indore,2010,0.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,22.715059,75.865023,689,IN,Indore,2020,0.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.669997,78.180075,689,IN,Salem,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.669997,78.180075,689,IN,Salem,2010,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.669997,78.180075,689,IN,Salem,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,24.770412,84.380007,689,IN,Aurangabad,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,24.770412,84.380007,689,IN,Aurangabad,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,24.770412,84.380007,689,IN,Aurangabad,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.670406,75.900008,689,IN,Sholapur,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.670406,75.900008,689,IN,Sholapur,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.670406,75.900008,689,IN,Sholapur,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,28.669993,77.230004,689,IN,Delhi,2000,5.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,28.669993,77.230004,689,IN,Delhi,2010,5.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,28.669993,77.230004,689,IN,Delhi,2020,6.1
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.399983,78.479954,689,IN,Hyderabad,2000,1.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.399983,78.479954,689,IN,Hyderabad,2010,2
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.399983,78.479954,689,IN,Hyderabad,2020,2.1
Slum dwellers,urban_population_share_national,Share in national urban population,p,18.530018,73.850004,689,IN,Pune,2000,1.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,18.530018,73.850004,689,IN,Pune,2010,1.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,18.530018,73.850004,689,IN,Pune,2020,1.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.16996,79.089994,689,IN,Nagpur,2000,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.16996,79.089994,689,IN,Nagpur,2010,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.16996,79.089994,689,IN,Nagpur,2020,0.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.080421,77.329998,689,IN,Tiruppur,2000,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.080421,77.329998,689,IN,Tiruppur,2010,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,11.080421,77.329998,689,IN,Tiruppur,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.921133,75.809987,689,IN,Jaipur,2000,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.921133,75.809987,689,IN,Jaipur,2010,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.921133,75.809987,689,IN,Jaipur,2020,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.459999,80.319996,689,IN,Kanpur,2000,0.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.459999,80.319996,689,IN,Kanpur,2010,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.459999,80.319996,689,IN,Kanpur,2020,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,25.624959,85.130039,689,IN,Patna,2000,0.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,25.624959,85.130039,689,IN,Patna,2010,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,25.624959,85.130039,689,IN,Patna,2020,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,13.089988,80.279999,689,IN,Chennai,2000,2.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,13.089988,80.279999,689,IN,Chennai,2010,2.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,13.089988,80.279999,689,IN,Chennai,2020,2.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.030053,72.580004,689,IN,Ahmedabad,2000,1.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.030053,72.580004,689,IN,Ahmedabad,2010,1.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,23.030053,72.580004,689,IN,Ahmedabad,2020,1.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.199984,72.840039,689,IN,Surat,2000,0.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.199984,72.840039,689,IN,Surat,2010,1.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,21.199984,72.840039,689,IN,Surat,2020,1.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,20.000419,73.779982,689,IN,Nasik,2000,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,20.000419,73.779982,689,IN,Nasik,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,20.000419,73.779982,689,IN,Nasik,2020,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.229987,78.180075,689,IN,Gwalior,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.229987,78.180075,689,IN,Gwalior,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.229987,78.180075,689,IN,Gwalior,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,31.334921,75.56902,689,IN,Jullundur,2000,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,31.334921,75.56902,689,IN,Jullundur,2010,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,31.334921,75.56902,689,IN,Jullundur,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,9.920026,78.120027,689,IN,Madurai,2000,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,9.920026,78.120027,689,IN,Madurai,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,9.920026,78.120027,689,IN,Madurai,2020,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.160017,91.769995,689,IN,Guwahati,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.160017,91.769995,689,IN,Guwahati,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,26.160017,91.769995,689,IN,Guwahati,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,10.809998,78.689967,689,IN,Tiruchirappalli,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,10.809998,78.689967,689,IN,Tiruchirappalli,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,10.809998,78.689967,689,IN,Tiruchirappalli,2020,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,28.841791,78.756784,689,IN,Moradabad,2000,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,28.841791,78.756784,689,IN,Moradabad,2010,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,28.841791,78.756784,689,IN,Moradabad,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.730015,83.304982,689,IN,Vishakhapatnam,2000,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.730015,83.304982,689,IN,Vishakhapatnam,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,17.730015,83.304982,689,IN,Vishakhapatnam,2020,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,16.519959,80.630003,689,IN,Vijayawada,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,16.519959,80.630003,689,IN,Vijayawada,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,16.519959,80.630003,689,IN,Vijayawada,2020,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,8.499984,76.950021,689,IN,Thiruvananthapuram,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,8.499984,76.950021,689,IN,Thiruvananthapuram,2010,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,8.499984,76.950021,689,IN,Thiruvananthapuram,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,10.015008,76.223916,689,IN,Kochi,2000,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,10.015008,76.223916,689,IN,Kochi,2010,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,10.015008,76.223916,689,IN,Kochi,2020,0.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,15.359978,75.125016,689,IN,Hubli,2000,0.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,15.359978,75.125016,689,IN,Hubli,2010,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,15.359978,75.125016,689,IN,Hubli,2020,0.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,12.309984,76.660013,689,IN,Mysore,2000,0.3
